"pid","location","lat","lon"
254,"87 LAURA LA",41.2579684,-72.8922068
255,"81 LAURA LA",41.2578682,-72.8924565
256,"35 LAURA LA",41.2578682,-72.8924565
257,"29 LAURA LA",41.2578682,-72.8924565
258,"23 LAURA LA",40.6004643,-73.752093
259,"17 LAURA LA",41.259882,-72.892086
260,"11 LAURA LA",41.259733,-72.892067
261,"5 LAURA LA",41.2596029,-72.8919625
262,"159 HUNTINGTON RD",41.2594629,-72.8919109
263,"157 HUNTINGTON RD",41.259362,-72.891858
264,"151 HUNTINGTON RD",40.6004643,-73.752093
265,"155 HUNTINGTON RD",41.2591682,-72.8917065
266,"145 HUNTINGTON RD",41.259011,-72.891668
267,"137 HUNTINGTON RD",41.2588629,-72.8915368
268,"129 HUNTINGTON RD",41.2581649,-72.8914099
269,"123 HUNTINGTON RD",41.2581649,-72.8914099
270,"115 HUNTINGTON RD",41.258293,-72.8914269
271,"107 HUNTINGTON RD",41.258372,-72.891464
272,"99 HUNTINGTON RD",41.258474,-72.891518
273,"91 HUNTINGTON RD",41.258627,-72.891608
274,"83 HUNTINGTON RD",41.2741667,-72.896459
275,"75 HUNTINGTON RD",41.258801,-72.891861
276,"65 HUNTINGTON RD",41.258944,-72.89197
277,"44 ELIZABETH ANN DR",41.259039,-72.892036
278,"52 ELIZABETH ANN DR",41.259133,-72.892102
279,"56 ELIZABETH ANN DR",41.259227,-72.892169
280,"60 ELIZABETH ANN DR",41.259323,-72.892233
281,"66 ELIZABETH ANN DR",41.25942,-72.892299
282,"CHARTER OAK AV",41.259556,-72.892399
283,"CHARTER OAK AV",41.2597189,-72.8924569
284,"CHARTER OAK AV",41.259816,-72.892527
285,"CHARTER OAK AV",41.255806,-72.892116
286,"CHARTER OAK AV",41.255569,-72.891735
287,"CHARTER OAK AV",41.2534301,-72.8948755
288,"125 HUNTINGTON RD",41.2533095,-72.8948045
289,"CHARTER OAK AV",41.2534184,-72.894516
290,"CHARTER OAK AV",41.2534388,-72.8942159
291,"4 HUGHES ST EX",41.2535295,-72.8950776
292,"8 HUGHES ST EX",41.2528114,-72.8936369
293,"72 ELIZABETH ANN DR",40.6004643,-73.752093
294,"78 ELIZABETH ANN DR",40.6004643,-73.752093
295,"84 ELIZABETH ANN DR",41.2529026,-72.8938594
296,"88 ELIZABETH ANN DR",41.25278,-72.894071
297,"94 ELIZABETH ANN DR",41.2528874,-72.8943071
298,"100 ELIZABETH ANN DR",41.2529568,-72.8944804
299,"104 ELIZABETH ANN DR",41.2530159,-72.8946533
300,"110 ELIZABETH ANN DR",41.253096,-72.894835
301,"118 ELIZABETH ANN DR",41.2552068,-72.8930384
302,"124 ELIZABETH ANN DR",41.2549191,-72.8931334
303,"132 ELIZABETH ANN DR",41.2548315,-72.8928862
304,"138 ELIZABETH ANN DR",41.2546996,-72.8928192
305,"146 ELIZABETH ANN DR",41.254573,-72.892843
306,"5 MASSACHUSETTS AV",41.2546889,-72.8932209
307,"11 MASSACHUSETTS AV",41.2542202,-72.8930359
308,"MASSACHUSETTS AV",41.254307,-72.8926455
309,"75 ELIZABETH ANN DR",41.254187,-72.892685
310,"55 ELIZABETH ANN DR",41.254048,-72.89261
311,"49 ELIZABETH ANN DR",41.2538674,-72.8925196
312,"41 ELIZABETH ANN DR",41.253699,-72.892625
313,"35 ELIZABETH ANN DR",41.253519,-72.8926649
314,"29 ELIZABETH ANN DR",41.2533478,-72.892663
315,"21 ELIZABETH ANN DR",41.253176,-72.892776
316,"15 ELIZABETH ANN DR",40.6004643,-73.752093
317,"7 ELIZABETH ANN DR",40.6004643,-73.752093
318,"CLARENDON ST",40.6004643,-73.752093
319,"147 ELIZABETH ANN DR",41.2537859,-72.8940747
320,"141 ELIZABETH ANN DR",41.2537643,-72.8943551
321,"131 ELIZABETH ANN DR",41.2537013,-72.8948761
322,"125 ELIZABETH ANN DR",41.253837,-72.8948971
323,"117 ELIZABETH ANN DR",41.2539679,-72.8948703
324,"103 ELIZABETH ANN DR",41.2541047,-72.8948948
325,"109 ELIZABETH ANN DR",41.2542362,-72.8949442
326,"83 ELIZABETH ANN DR",41.2543677,-72.8949902
327,"53 HUNTINGTON RD",41.2545208,-72.8949671
328,"41 HUNTINGTON RD",41.2547732,-72.8950424
329,"37 HUNTINGTON RD",41.2548039,-72.8948695
330,"29 HUNTINGTON RD",41.2548469,-72.8946736
331,"23 HUNTINGTON RD",41.2546236,-72.8944244
332,NA,41.2544752,-72.8944131
333,"87 CLARENDON ST",41.2543309,-72.8943365
334,"95 CLARENDON ST",41.2541895,-72.894256
335,"105 CLARENDON ST",41.2540141,-72.8942683
336,"8 ELIZABETH ANN DR",41.2541683,-72.8940425
337,"18 ELIZABETH ANN DR",41.2540448,-72.893706
338,"28 ELIZABETH ANN DR",41.2542307,-72.8937751
339,"32 ELIZABETH ANN DR",41.2543595,-72.8938893
340,"821 TOWNSEND AV",41.2545093,-72.8939785
341,"29 SOUND VIEW TER",41.2541683,-72.8940425
342,"39 SOUND VIEW TER",41.2546637,-72.8940412
343,"49 SOUND VIEW TER",41.2549756,-72.8940291
344,"59 SOUND VIEW TER",41.255033,-72.8937456
345,"75 SOUND VIEW TER",41.2550644,-72.8935391
346,"85 SOUND VIEW TER",41.255137,-72.893178
347,"95 SOUND VIEW TER",41.255576,-72.892397
348,"105 SOUND VIEW TER",40.6004643,-73.752093
349,"115 SOUND VIEW TER",40.6004643,-73.752093
350,"125 SOUND VIEW TER",41.2436616,-72.981009
351,"135 SOUND VIEW TER",41.2434111,-72.9804388
352,"145 SOUND VIEW TER",41.2432994,-72.9801825
353,"4 HORSLEY AV",41.2432674,-72.980109
354,"2 HORSLEY AV",41.2428846,-72.9792255
355,"HORSLEY AV",41.2428046,-72.9790395
356,"TUTTLE DR",41.2427955,-72.9790186
357,"174 TUTTLE DR",41.2427502,-72.9789145
358,"168 TUTTLE DR",41.2426867,-72.9787687
359,"160 TUTTLE DR",41.2422102,-72.9776754
360,"150 TUTTLE DR",41.253426,-72.89119
361,"144 TUTTLE DR",41.25335,-72.891341
362,"136 TUTTLE DR",41.253282,-72.891503
363,"128 TUTTLE DR",41.2531612,-72.8919516
364,"120 TUTTLE DR",41.253217,-72.891696
365,"112 TUTTLE DR",41.253161,-72.892281
366,"104 TUTTLE DR",41.253413,-72.891992
367,"785 TOWNSEND AV",41.253573,-72.8919669
368,"795 TOWNSEND AV",41.253792,-72.891963
369,"801 TOWNSEND AV",41.254024,-72.891975
370,"TOWNSEND AV",41.649399,-75.457809
371,"809 TOWNSEND AV",41.2543,-72.89209
372,"91 HORSLEY AV",41.254427,-72.892146
373,"265 UPSON TER",41.254556,-72.8922089
374,"285 UPSON TER",41.254684,-72.8922709
375,"40 HOPKINS DR",41.254858,-72.892358
376,"30 HOPKINS DR",41.2550524,-72.8924956
377,"22 HOPKINS DR",41.2551481,-72.892607
378,"14 HOPKINS DR",40.6004643,-73.752093
379,"8 HOPKINS DR",41.255424,-72.8925919
380,"4 HOPKINS DR",40.6004643,-73.752093
381,"HORSLEY AV",41.255517,-72.895095
382,"1 HORSLEY AV",41.2551811,-72.8953625
383,"5 HORSLEY AV",41.2551618,-72.8955708
384,"11 HORSLEY AV",41.2550756,-72.8959079
385,"35 HORSLEY AV",41.2550088,-72.8961772
386,"45 HORSLEY AV",41.2548596,-72.8963553
387,"61 HORSLEY AV",41.2551834,-72.8963786
388,"75 HORSLEY AV",41.2552704,-72.8961656
389,"305 UPSON TER",41.2553271,-72.8965905
390,"335 UPSON TER",41.2553154,-72.8958652
391,"112 HUNTINGTON RD",41.2893709,-72.9322898
392,"120 HUNTINGTON RD",41.255431,-72.895263
